nazwa,nazwa_lacinska,grupa,podgrupa,dekoracyjnosc,gleba,kolor_kwiatow,kwiaty,odczyn_gleby,owoce,pokroj,wysokosc,okres_kwitnienia,trwalosc_lisci,korona,wilgotnosc,stanowisko,zastosowanie,zapach,kwiatostan,kolor_owocow,przydatnosc_do_spozycia
rącznik pospolity,ricinus communis,"jednoroczne, dwuletnie","jednoroczne, ozdobne owoce, na słoneczne stanowisko, ozdobne liście, kwitnące latem, kwitnące jesienią","owoce, ulistnienie","żyzna, próchniczna, przepuszczalna","żółte, zielonkawe","niepozorne, drobne",,torebka,"wzniesiony, rozłożysty",150 300 cm,"VII, VIII, IX, X",sezonowe,,"gleba wilgotna, gleba umiarkowanie wilgotna",słońce,"rabaty, brzegi zbiorników wodnych, duże ogrody",,,czerwone,
krokus złocisty,crocus chrysanthus,cebulowe,"na słoneczne stanowisko, na skalniaki, kwitnące wiosną, ozdobne kwiaty",kwiaty,,"białe, kremowe, żółte, fioletowe",,lekko kwaśna,,wzniesiony,"0,05-0,1 m","II, III, IV",,,,słońce,"skalniaki, rabaty, w grupie, pojemniki",,,,
rdestówka auberta / rdestówka bucharska,fallopia aubertii,pnącza,"pnącza, na słoneczne stanowisko, ozdobne liście, kwitnące latem, kwitnące jesienią","kwiaty, ulistnienie","każda ogrodowa, małe wymagania glebowe",białe,drobne,,,pnącze,do 12 m,"VIII, IX, X",sezonowe,,gleba umiarkowanie wilgotna,słońce,"roślina pnąca, na altany, ogrody przydomowe, pojemniki, balkony",,wiechowaty,,
wiśnia pospolita,prunus cerasus,"owocowe, warzywne",drzewa owocowe,,"każda ogrodowa, przepuszczalna, bogata w wapń",,,lekko kwaśna,jadalne,,,,sezonowe,,gleba umiarkowanie wilgotna,słońce,"duże ogrody, roślina jadalna",,,czerwone,owoce
ogórek siewny,cucumis sativus,"owocowe, warzywne","owocowe, warzywne, warzywa",,próchniczna,żółte,,lekko zasadowa,"podłużne, jagody",płożący,,,sezonowe,,gleba umiarkowanie wilgotna,słońce,roślina jadalna,,,zielone,owoce
szalotka,allium ascalonicum,"owocowe, warzywne",,,"przepuszczalna, lekka",białe,drobne,lekko kwaśna,torebka,"wzniesiony, wyprostowany",ok. 60 cm,,sezonowe,,gleba umiarkowanie wilgotna,słońce,,cała roślina,baldach,,"liście, korzenie"
żyworódka pierzasta,kalanchoe pinnata,do wnętrz,"do wnętrz, na słoneczne stanowisko, na balkon i taras",kwiaty,"przewiewna, przepuszczalna","purpurowe, zielonkawe, wielobarwne",,lekko kwaśna,mieszek,wzniesiony,ok. 60 cm,,,,gleba umiarkowanie sucha,"słońce, półcień","tarasy, wnętrza, pojemniki",,wiechowaty,,
piwonia drzewiasta,paeonia suffruticosa,krzewy,"krzewy, liściaste, na słoneczne stanowisko, pachnące kwiaty lub liście, ozdobne kwiaty",kwiaty,"żyzna, próchniczna, przepuszczalna, bogata w wapń","białe, żółte, pomarańczowe, łososiowe, czerwone, różowe","pojedyncze, półpełne, pełne",zasadowa,mieszek,"wzniesiony, rozłożysty","ok. 1,5 m","V, VI",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","tarasy, rabaty, brzegi zbiorników wodnych, miejsca eksponowane, pojedynczo, ogrody przydomowe, małe ogrody, duże ogrody, pojemniki, balkony",kwiaty,,,
bodziszek,geranium,byliny,"znoszące zacienienie, płożące lub okrywowe, na skalniaki, pachnące kwiaty lub liście, kwitnące wiosną, kwitnące latem, ozdobne kwiaty",kwiaty,każda ogrodowa,fioletowe,,,rozłupnia,wzniesiony,od 30 do 70 cm,"VI, VII, VIII",sezonowe,,"gleba umiarkowanie wilgotna, gleba umiarkowanie sucha","słońce, półcień","tarasy, ogrody wiejskie, skalniaki, rabaty, roślina okrywowa, pod koronami drzew, nasadzenia naturalistyczne, w grupie, ogrody przydomowe, parki, pojemniki",,,,
trzmielina oskrzydlona,euonymus alatus,krzewy,"liściaste, na słoneczne stanowisko, ozdobne owoce, ozdobne liście",,przepuszczalna,żółte,,"zasadowa, lekko kwaśna, obojętna, lekko zasadowa",,rozłożysty,2-3m,"V, VI",sezonowe,,gleba umiarkowanie sucha,"słońce, półcień",żywopłoty,,,,
hortensja bukietowa 'bobo',hydrangea paniculata,krzewy,"krzewy, liściaste, pojemnikowe, znoszące zacienienie, ozdobne kwiaty",kwiatostany,"żyzna, próchniczna, przepuszczalna",białe,,kwaśna,,"kulisty, zwarty",do 1 m,"VII, VIII, IX, X",,,gleba umiarkowanie wilgotna,półcień,"pojedynczo, w grupie, ogrody przydomowe, małe ogrody, pojemniki, balkony, kwiat cięty, bukiety",,baldachogrono,,
lilia biała,lilium candidum,cebulowe,"na słoneczne stanowisko, kwitnące wiosną, kwitnące latem, na kwiat cięty, ozdobne kwiaty","kwiatostany, kwiaty","żyzna, próchniczna",białe,lejkowate,lekko zasadowa,torebka,wzniesiony,ok. 120 cm,"VI, VII",sezonowe,,gleba umiarkowanie wilgotna,słońce,,kwiaty,,,
lilia złotogłów,lilium martagon,cebulowe,"rośliny cebulowe, kwitnące latem, na kwiat cięty, ozdobne kwiaty",kwiaty,próchniczna,"białe, żółte, pomarańczowe, różowe",drobne,zasadowa,torebka,wzniesiony,do 1 m,"VI, VII",sezonowe,,gleba wilgotna,słońce,"rabaty, ogrody przydomowe, kwiat cięty",kwiaty,grono,,korzenie
piwonia lekarska,paeonia officinalis,byliny,"trujące, pachnące kwiaty lub liście, kwitnące latem, na kwiat cięty, ozdobne kwiaty",kwiaty,"żyzna, przepuszczalna, gliniasta","czerwone, różowe","pełne, duże","lekko kwaśna, obojętna, lekko zasadowa",mieszek,wzniesiony,60 cm,"V, VI",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","rabaty, ogrody przydomowe, małe ogrody, duże ogrody, kwiat cięty",,,,
szałwia omszona,salvia nemorosa,byliny,"na skalniaki, na słoneczne stanowisko, kwitnące wiosną, kwitnące latem, ozdobne kwiaty","kwiatostany, kwiaty","żyzna, przepuszczalna","białe, różowe, niebieskie, fioletowe",,,,"wzniesiony, kępy","0,4 - 0,6 m","V, VI, VII, VIII, IX",sezonowe,,gleba umiarkowanie sucha,słońce,"tarasy, skalniaki, rabaty, obwódki rabat, murki, skarpy, pojedynczo, w grupie, duże ogrody, pojemniki, kwiat cięty","kwiaty, liście",kłos,,
robinia akacjowa 'tortuosa',robinia pseudoacacia 'tortuosa',drzewa,"liściaste, do małych ogrodów, ozdobna kora lub pędy","cała roślina, kwiaty, pędy",małe wymagania glebowe,białe,niepozorne,,strąki,wzniesiony,do 8 m,"V, VI",sezonowe,nieregularna,gleba sucha,słońce,"pojedynczo, małe ogrody, bukiety",kwiaty,grono,,
rozplenica słoniowa 'vertigo',pennisetum purpureum,byliny,"byliny, na słoneczne stanowisko, ozdobne liście, trawy ozdobne, rośliny egzotyczne","cała roślina, ulistnienie","kompostowa, żyzna",,,obojętna,,"wzniesiony, kępy, kulisty",70 - 90 cm,,,,,"słońce, półcień","roślina dekoracyjna, tarasy, rabaty, miejsca eksponowane, pojedynczo, w grupie, zieleń miejska",,kłos,,
hibiskus bylinowy summerific™,hibiscus moscheutos,byliny,"byliny, na słoneczne stanowisko, kwitnące wiosną, kwitnące latem, na wilgotne stanowisko, ozdobne kwiaty",kwiaty,"żyzna, próchniczna, przepuszczalna","bordowe, białe, żółte, pomarańczowe, łososiowe, czerwone, purpurowe, różowe, fioletowe, wielobarwne","pojedyncze, pełne, duże","lekko kwaśna, obojętna",,rozłożysty,do 130 cm,"VI, VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","roślina dekoracyjna, tarasy, rabaty, obwódki rabat, miejsca eksponowane, pojedynczo, w grupie, balkony, roślina lecznicza, roślina jadalna",,,,
żywotnik zachodni 'sunny smaragd',thuja occidentalis 'sunny smaragd',krzewy,"iglaste, do dużych ogrodów lub parków, na słoneczne stanowisko, trujące","cała roślina, ulistnienie, pędy","każda ogrodowa, żyzna, próchniczna, przepuszczalna, gliniasta",,,lekko kwaśna,,"stożkowaty, wzniesiony, zwarty","2 - 2,5 m",,zimozielone,,"gleba wilgotna, gleba umiarkowanie wilgotna","słońce, półcień","tarasy, żywopłoty, szpalery, pojedynczo, w grupie, ogrody przydomowe, małe ogrody, duże ogrody, parki, zieleń miejska, cmentarze",cała roślina,,,
goździk chiński,dianthus chinensis,"jednoroczne, dwuletnie","jednoroczne, na słoneczne stanowisko, kwitnące latem, na kwiat cięty, ozdobne kwiaty",kwiaty,"żyzna, próchniczna","białe, czerwone, różowe, wielobarwne",duże,,torebka,"wzniesiony, kępy",20-40 cm,"VI, VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,słońce,"tarasy, wnętrza, rabaty, balkony, kwiat cięty",,pojedynczy,,
rokitnik wąskolistny,hipphophae rhamnoides,krzewy,"liściaste, do dużych ogrodów lub parków, ozdobne owoce, ozdobne kwiaty",owoce,,,,,,,"3-3,5 m","III, IV",,"nieregularna, asymetryczna",gleba umiarkowanie sucha,"słońce, półcień","pojedynczo, w grupie, parki, zieleń miejska",,,pomarańczowe,owoce
brzoza brodawkowata,betula pendula,drzewa,"liściaste, parkowe, przebarwiające się liście, ozdobna kora lub pędy","kora, pędy",małe wymagania glebowe,,,,,wzniesiony,do 30 m,,sezonowe,zwisająca,gleba sucha,słońce,"ogrody przydomowe, parki, zieleń miejska, roślina lecznicza",,,,
szachownica cesarska,fritillaria imperialis,cebulowe,"cebulowe, na słoneczne stanowisko, trujące, kwitnące wiosną, na kwiat cięty, ozdobne kwiaty","kwiatostany, kwiaty","próchniczna, przepuszczalna","żółte, pomarańczowe, czerwone",dzwonkowate,obojętna,,"wzniesiony, kępy",do 1 m,"IV, V",sezonowe,,gleba umiarkowanie sucha,słońce,"rabaty, ogrody przydomowe, małe ogrody, pojemniki, kwiat cięty",cała roślina,,,roślina trująca
ananas jadalny,ananas comosus,do wnętrz,"znoszące zacienienie, ozdobne owoce, na słoneczne stanowisko","owocostany, rozety liściowe",żyzna,,,"kwaśna, lekko kwaśna",jadalne,"wzniesiony, krzaczkowaty",30-60 cm,,,,gleba umiarkowanie wilgotna,"słońce, półcień","roślina dekoracyjna, roślina jadalna",owoce,,"zielone, żółte",owoce
szpinak,spinacia oleracea,"owocowe, warzywne",warzywa,,żyzna,białe,,,,wzniesiony,30-60cm,,,,gleba umiarkowanie wilgotna,półcień,roślina jadalna,,,,liście
pokrzywa zwyczajna,urtica dioica,zioła,lecznicze,,żyzna,zielonkawe,,,,wzniesiony,"do 1,5 m","IV, IX",sezonowe,,,"słońce, półcień, cień",roślina lecznicza,"kwiaty, liście",,,liście
hortensja pnąca 'silver lining',hydrangea petiolaris 'silver lining',pnącza,"znoszące zacienienie, ozdobne liście, kwitnące latem","kwiaty, ulistnienie",próchniczna,białe,,kwaśna,,,do 8 m,"VI, VII",sezonowe,,gleba wilgotna,"półcień, cień","sadzona przy podporach, sadzona przy ogrodzeniach, roślina okrywowa, ogrody przydomowe, balkony",,,,
hortensja dębolistna,hydrangea quercifolia,krzewy,"liściaste, znoszące zacienienie, przebarwiające się liście, ozdobne liście, ozdobne kwiaty","kwiaty, ulistnienie",próchniczna,białe,,kwaśna,,luźny,"1,5 m","VII, VIII",sezonowe,,gleba umiarkowanie wilgotna,półcień,"rabaty, nasadzenia naturalistyczne, miejsca eksponowane, ogrody przydomowe, duże ogrody",,wiechowaty,,
hortensja bukietowa little lime,hydrangea paniculata 'little lime',krzewy,"liściaste, do dużych ogrodów lub parków, pojemnikowe, na słoneczne stanowisko, ozdobne kwiaty",kwiaty,"każda ogrodowa, małe wymagania glebowe","białe, kremowe, różowe",,lekko kwaśna,,"rozłożysty, krzaczkowaty",do 100 cm,"VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,słońce,"roślina dekoracyjna, rabaty, w grupie, ogrody przydomowe, małe ogrody, duże ogrody, parki, zieleń miejska, pojemniki, kwiat cięty, bukiety",,wiechowaty,,
pluskwica groniasta / świecznica,actaea racemosa,byliny,"byliny, znoszące zacienienie, kwitnące latem, na wilgotne stanowisko, ozdobne kwiaty","kwiatostany, kwiaty","kompostowa, żyzna",białe,drobne,,,wyprostowany,do 2 m,"VII, VIII, IX",,,gleba wilgotna,"półcień, cień","rabaty, brzegi zbiorników wodnych, pod koronami drzew, w grupie, duże ogrody, parki",kwiaty,grono,,
afelandra stercząca / afelandra czworokątna,aphelandra squarrosa,do wnętrz,"znoszące zacienienie, ozdobne liście","kwiatostany, rozety liściowe, kwiaty, ulistnienie","torfowa, żyzna","żółte, pomarańczowe",,lekko kwaśna,,"wzniesiony, krzaczkowaty",30-60 cm,,,,gleba umiarkowanie wilgotna,półcień,"roślina dekoracyjna, wnętrza",,,,
akebia trójlistkowa,akebia trifoliata,pnącza,"ozdobne liście, kwitnące wiosną, pachnące kwiaty lub liście, na słoneczne stanowisko","kwiaty, ulistnienie","przewiewna, przepuszczalna, lekka",purpurowe,,,mieszek,pnącze,do 7m,"IV, V",sezonowe,,,"słońce, półcień","roślina pnąca, na altany, balkony",,grono,,
aksamitka wyniosła,tagetes erecta,"jednoroczne, dwuletnie","jednoroczne, znoszące zacienienie, na słoneczne stanowisko, kwitnące latem, kwitnące jesienią, ozdobne kwiaty",kwiaty,"próchniczna, przepuszczalna, lekka","żółte, pomarańczowe, wielobarwne",,,,"wzniesiony, kępy",20-80 cm,"VII, VIII, IX, X",sezonowe,,gleba umiarkowanie sucha,"słońce, półcień","skalniaki, rabaty, obwódki rabat, ogrody przydomowe, zieleń miejska, pojemniki",,koszyczek kwiatowy,,
aptenia sercolistna,aptenia cordifolia,na balkon i taras,"na słoneczne stanowisko, kwitnące latem, ozdobne kwiaty","kwiaty, ulistnienie",przepuszczalna,czerwone,drobne,,,płożący,,"VI, VII, VIII, IX",zimozielone,,,słońce,"skalniaki, pojemniki, balkony",,,,
araukaria wyniosła,araucaria heterophylla,do wnętrz,,"cała roślina, ulistnienie, pędy","torfowa, żyzna",,,lekko kwaśna,,"stożkowaty, wyprostowany",,,,stożkowata,gleba umiarkowanie wilgotna,półcień,"roślina dekoracyjna, tarasy, wnętrza",,,,
aster chiński,callistephus chinensis,"jednoroczne, dwuletnie","jednoroczne, znoszące zacienienie, na słoneczne stanowisko, kwitnące latem, kwitnące jesienią, na kwiat cięty, ozdobne kwiaty",kwiaty,"żyzna, próchniczna, przepuszczalna","białe, kremowe, żółte, pomarańczowe, łososiowe, czerwone, różowe, niebieskie, fioletowe",,,,wzniesiony,15-70 cm,"VII, VIII, IX, X",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","tarasy, rabaty, ogrody przydomowe, pojemniki, balkony",,koszyczek kwiatowy,,
babka lancetowata,plantago lanceolata,zioła,lecznicze,,"każda ogrodowa, uboga","białe, różowe, wielobarwne",,,,krzaczkowaty,do 40 cm,"V, VI",,,,"słońce, półcień",roślina lecznicza,,,,liście
berberys thunberga 'atropurpurea',berberis thunbergii 'atropurpurea',krzewy,"liściaste, żywopłotowe, przebarwiające się liście, ozdobne liście","owoce, ulistnienie",małe wymagania glebowe,żółte,,,elipsoidalne,,,"V, VI",,,,,"skalniaki, żywopłoty, szpalery, w grupie",,,czerwone,
berberys thunberga 'aurea',berberis thunbergii 'aurea',krzewy,"liściaste, żywopłotowe, na skalniaki, ozdobne owoce, ozdobne liście","owoce, ulistnienie",,żółte,,,elipsoidalne,,1 m,"V, VI",,,,półcień,"skalniaki, żywopłoty, szpalery, w grupie",,,czerwone,
berberys thunberga 'orange dream',berberis thunbergii,krzewy,"liściaste, znoszące zacienienie, na słoneczne stanowisko, przebarwiające się liście, ozdobne liście","ulistnienie, pędy",małe wymagania glebowe,,,,,"rozłożysty, krzaczkowaty","od 1 do 1,5 m",,sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","skalniaki, żywopłoty, szpalery, w grupie, ogrody przydomowe, zieleń miejska",,,,
borówka brusznica,vaccinium vitis-idaea,"owocowe, warzywne",krzewy owocowe,,"żyzna, próchniczna, przepuszczalna","białe, różowe",,kwaśna,,"pokładający się, kępy",10-25cm,"V, VI, VII",zimozielone,,gleba umiarkowanie wilgotna,"słońce, półcień","ogrody wrzosowiskowe, rabaty, ogrody przydomowe, roślina jadalna",,,czerwone,owoce
cefalocereus / głowa starca,cegalocereus senilis,do wnętrz,na słoneczne stanowisko,,"przepuszczalna, piaszczysta",,,lekko kwaśna,,wzniesiony,30-70 cm,,zimozielone,,"gleba umiarkowanie sucha, gleba sucha",słońce,"roślina dekoracyjna, wnętrza",,,,
chrzan pospolity,armoracia rusticana,"owocowe, warzywne",warzywa,,"lekka, próchniczna",,,lekko zasadowa,,,"1-1,5 m",,,,,słońce,"ogrody przydomowe, w grupie, roślina jadalna",,,,
ciecierzyca,cicer arietinum,"owocowe, warzywne",warzywa,,żyzna,,,,,,,,,,gleba umiarkowanie wilgotna,,ogrody przydomowe,,,,"liście, korzenie"
cis pospolity 'aurea',taxus baccata 'aurea',krzewy,"iglaste, trujące, ozdobne owoce, ozdobne liście",ulistnienie,"żyzna, próchniczna, przepuszczalna, bogata w wapń",,,zasadowa,,,"1,5 m (po 10 latach)",,zimozielone,,gleba wilgotna,"półcień, cień, słońce","skalniaki, brzegi zbiorników wodnych, pojedynczo, ogrody przydomowe, parki",,,,
cissus australijski,cissus antarctica,do wnętrz,"znoszące zacienienie, ozdobne liście",ulistnienie,"żyzna, świeża, przepuszczalna",,,lekko kwaśna,,,,,,,gleba umiarkowanie wilgotna,"półcień, cień","roślina pnąca, roślina dekoracyjna, wnętrza",,,,
cissus różnobarwny,cissus discolor,do wnętrz,"znoszące zacienienie, ozdobne liście",ulistnienie,"żyzna, przepuszczalna",,,lekko kwaśna,,pnącze,do 3 m,,,,,"półcień, cień","roślina pnąca, wnętrza",,,,
cyprysik nutkajski 'pendula',chamaecyparis nootkatensis 'pendula',krzewy,"iglaste, na słoneczne stanowisko",,"próchniczna, przepuszczalna",,,,,"luźny, stożkowaty",3-8 m,,zimozielone,,,"słońce, półcień","pojedynczo, ogrody przydomowe, parki",,,,
cytryniec,schisandra chinensis,"owocowe, warzywne",pnącza owocowe,"owoce, ulistnienie","żyzna, przepuszczalna","białe, kremowe, różowe","pachnące, drobne",,kłosy,,do 10m,"V, VI",sezonowe,,gleba umiarkowanie wilgotna,półcień,"na altany, murki, roślina jadalna",,,czerwone,
czarnuszka damasceńska,nigella damascena,"jednoroczne, dwuletnie","jednoroczne, ozdobne owoce, na słoneczne stanowisko, kwitnące latem","kwiaty, owoce","przepuszczalna, żyzna","niebieskie, różowe, białe",,,torebka,,,"IX, VIII, VII, VI, V",sezonowe,,,słońce,"roślina lecznicza, bukiety, kwiat cięty, rabaty",,,,
czeremcha zwyczajna,padus avium,"owocowe, warzywne",drzewa owocowe,,"żyzna, próchniczna, świeża",,,,,rozłożysty,do 18m,"VI, VII",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","roślina lecznicza, roślina jadalna",,,,"kora, owoce"
czermień błotna,calla palustris,wodne,wodne lub w pobliżu zbiorników,"kwiaty, ulistnienie",,białe,,,,,,,,,,słońce,"brzegi zbiorników wodnych, zbiorniki wodne",,,czerwone,
czubatka ubiorkolistna,brachycome iberdifolia,"jednoroczne, dwuletnie","jednoroczne, na słoneczne stanowisko, kwitnące latem, kwitnące jesienią, ozdobne kwiaty",kwiaty,"żyzna, próchniczna, przepuszczalna","białe, różowe, niebieskie, fioletowe",drobne,,,"wzniesiony, rozłożysty",30-40 cm,"VI, VII, VIII, IX, X, XI",sezonowe,,gleba umiarkowanie wilgotna,słońce,"roślina dekoracyjna, rabaty, ogrody przydomowe, pojemniki",,koszyczek kwiatowy,,
dereń biały,cornus alba,krzewy,"liściaste, do dużych ogrodów lub parków, żywopłotowe, na słoneczne stanowisko, przebarwiające się liście, ozdobne liście","ulistnienie, pędy","małe wymagania glebowe, próchniczna, gliniasta","białe, kremowe, żółte","pojedyncze, drobne","lekko kwaśna, obojętna","kuliste, zebrane w grono","wzniesiony, rozłożysty",3 m,,sezonowe,,"gleba wilgotna, gleba stale wilgotna","słońce, półcień","żywopłoty, brzegi zbiorników wodnych, sadzona przy ogrodzeniach, pojedynczo, w grupie, małe ogrody, duże ogrody, parki, bukiety",,baldachogrono,,
dereń biały ‘sibirica’,cornus alba ‘sibirica’,krzewy,"liściaste, do dużych ogrodów lub parków, znoszące zacienienie, na słoneczne stanowisko, przebarwiające się liście, ozdobne owoce, ozdobne liście","kwiaty, ulistnienie, pędy",żyzna,białe,,,kuliste,rozłożysty,do 3 m,,sezonowe,,gleba wilgotna,"słońce, półcień","w grupie, duże ogrody",,,,
dereń kwiecisty,cornus florida,krzewy,"liściaste, na słoneczne stanowisko, ozdobne kwiaty",,"żyzna, przepuszczalna, bogata w wapń, bogata w azot",białe,,lekko kwaśna,,"wzniesiony, rozłożysty",4-6m,"IV, V",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","małe ogrody, duże ogrody, parki",,,,
dławisz okrągłolistny,celastrus orbiculatus,pnącza,"znoszące zacienienie, ozdobne liście, ozdobne owoce, kwitnące wiosną","owoce, ulistnienie",,"białe, zielonkawe",,,,,do 12 m,"V, VI",,,"gleba wilgotna, gleba stale wilgotna, gleba umiarkowanie wilgotna","słońce, półcień","roślina pnąca, sadzona przy podporach, miejsca eksponowane, w grupie, ogrody przydomowe, pojemniki",,,,
dmuszek jajowaty,lagurus ovatus,"jednoroczne, dwuletnie","jednoroczne, na słoneczne stanowisko, na skalniaki, ozdobne liście, kwitnące latem, na kwiat cięty, na suszone bukiety, ozdobne kwiaty, ogródki wiejskie","kwiatostany, cała roślina, ulistnienie","przepuszczalna, piaszczysta",białe,kuliste,obojętna,,"luźny, pokładający się, wzniesiony",,"V, VI, VII, VIII",sezonowe,,gleba umiarkowanie sucha,słońce,"skalniaki, rabaty, obwódki rabat, murki, skarpy, nasadzenia naturalistyczne, w grupie, ogrody przydomowe, pojemniki, bukiety",,kłos,,
driakiew gwiaździsta,scabiosa stellata,byliny,na suszone bukiety,kwiaty,"każda ogrodowa, przepuszczalna, piaszczysto-gliniasta",żółte,"dzwonkowate, drobne","zasadowa, lekko zasadowa",,wzniesiony,60-70cm,"VII, VIII, IX",sezonowe,,"gleba umiarkowanie wilgotna, gleba umiarkowanie sucha",słońce,"rabaty, w grupie, bukiety",kwiaty,,,owoce
dziurawiec 'rheingold',hypericum x indorum 'rheingold',krzewy,"liściaste, na słoneczne stanowisko, ozdobne owoce","kwiaty, ulistnienie",,żółte,,,,,"do 0,6 m","VII, VIII, IX",półzimozielone,,,słońce,,,,,
dziwaczek jalapa,mirabilis jalapa,"jednoroczne, dwuletnie","jednoroczne, na słoneczne stanowisko, pachnące kwiaty lub liście, kwitnące latem, na kwiat cięty, ozdobne kwiaty",kwiaty,"żyzna, przepuszczalna","białe, żółte, purpurowe, różowe, wielobarwne","dzwonkowate, duże",,,"wzniesiony, rozłożysty",70-80 cm,"VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,słońce,"na altany, rabaty, balkony, kwiat cięty",kwiaty,baldachogrono,,
dzwonek karpacki 'karl foerster',campanula carpatica 'karl foerster',byliny,"płożące lub okrywowe, na skalniaki, kwitnące latem, ozdobne kwiaty",kwiaty,"żyzna, przepuszczalna","białe, niebieskie",dzwonkowate,,,"wzniesiony, kępy","0,15-0,40 m","VI, VII",,,gleba umiarkowanie wilgotna,"słońce, półcień","skalniaki, rabaty, obwódki rabat, murki, pojemniki",,grono,,
endywia,cichorium endivia,"owocowe, warzywne",warzywa,,lekka,,,,,,"od 1 do 1,5 m",,,,gleba umiarkowanie sucha,"półcień, słońce","ogrody przydomowe, roślina lecznicza",,,,liście
floks drummonda / płomyk drummonda,phlox drummondii,"jednoroczne, dwuletnie","jednoroczne, na słoneczne stanowisko, kwitnące latem, kwitnące jesienią, ozdobne kwiaty",kwiaty,"żyzna, próchniczna, przepuszczalna","białe, kremowe, czerwone, różowe, fioletowe",drobne,,,"rozłożysty, płożący",od 15 do 45 cm,"VI, VII, VIII, IX, X",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","roślina dekoracyjna, tarasy, rabaty, roślina okrywowa, pojemniki, balkony",,,,
gardenia jaśminowata,gardenia jasminoides,na balkon i taras,"na słoneczne stanowisko, pachnące kwiaty lub liście, ozdobne kwiaty",,"przepuszczalna, lekka",białe,"pachnące, duże",,,wzniesiony,do 50 cm,"I, XII",zimozielone,,gleba umiarkowanie wilgotna,słońce,balkony,kwiaty,pojedynczy,,
gaulteria rozesłana,gaultheria procumbens,na balkon i taras,"znoszące zacienienie, ozdobne owoce",owoce,"przepuszczalna, lekka",różowe,"niepozorne, drobne","kwaśna, lekko kwaśna",jagody,płożący,15-20cm,"VII, VIII",zimozielone,,gleba umiarkowanie wilgotna,półcień,"ogrody wrzosowiskowe, balkony","kwiaty, liście",,czerwone,liście
gipsówka rozesłana,gypsophila repens,inne,"na kwiat cięty, na suszone bukiety",,"lekka, piaszczysto-gliniasta, bogata w wapń","białe, różowe",drobne,,,"płożący, kępy",do 20 cm,"VI, VII, VIII, IX",sezonowe,,gleba umiarkowanie sucha,słońce,,,wiechowaty,,
glicynia kwiecista,wisteria floribunda,pnącza,"ozdobne liście, kwitnące latem, pachnące kwiaty lub liście","kwiaty, ulistnienie","żyzna, przepuszczalna","różowe, niebieskie, fioletowe, wielobarwne",,,,,do 4 m,"V, VI, VII, VIII",,,,"słońce, półcień","roślina pnąca, pojemniki",,,,
glorioza rotszylda,gloriosa rotschildiana,pnącza,na kwiat cięty,kwiaty,,"białe, kremowe, żółte, czerwone, zielonkawe",,,,,,,,,,,"kwiat cięty, bukiety",,,,
głóg jednoszyjkowy,crataegus monogyna,krzewy,"liściaste, na słoneczne stanowisko, ozdobne owoce, ozdobne kwiaty","kwiaty, owoce","przepuszczalna, piaszczysto-gliniasta",białe,pojedyncze,zasadowa,,,3-6 metrów,"V, VI",sezonowe,,,"półcień, słońce","żywopłoty, szpalery, nasadzenia naturalistyczne, w grupie, parki, zieleń miejska, roślina lecznicza, roślina jadalna",,,czerwone,owoce
goździk alpejski,dianthus alpinus,byliny,"na skalniaki, na słoneczne stanowisko, kwitnące latem, ozdobne kwiaty",kwiaty,"gliniasta, próchniczna","różowe, kremowe",,,,kępy,"do 0,1 m","VIII, VII, VI",,,,słońce,"rabaty, skalniaki, skarpy",,,,
goździk kropkowany,dianthus deltoides,"jednoroczne, dwuletnie","na słoneczne stanowisko, kwitnące latem",,,"białe, czerwone, różowe, liliowe",,"lekko kwaśna, obojętna",,"płożący, kępy",15-30cm,"VI, VII, VIII, IX",sezonowe,,gleba umiarkowanie sucha,słońce,"ogrody wiejskie, skalniaki, rabaty, roślina okrywowa",,,,
grab pospolity / grab zwyczajny,carpinus betulus,drzewa,"liściaste, parkowe, znoszące zacienienie, przebarwiające się liście, ozdobna kora lub pędy",kora,"żyzna, próchniczna, świeża, piaszczysto-gliniasta, bogata w wapń",,,zasadowa,,wyprostowany,20 - 25 m,,sezonowe,"nieregularna, owalna","gleba wilgotna, gleba umiarkowanie wilgotna","słońce, półcień, cień","żywopłoty, pojedynczo, w grupie, duże ogrody, parki, zieleń miejska, cmentarze",,,,
grążel żółty,nuphar lutea,wodne,wodne lub w pobliżu zbiorników,"kwiaty, ulistnienie",,żółte,pojedyncze,,,,od 5 do 20 cm (bez kłączy),"V, VIII",,,,"słońce, cień",nasadzenia naturalistyczne,,,,roślina trująca
grzybienie,nymphaea,wodne,wodne lub w pobliżu zbiorników,kwiaty,,"białe, żółte, czerwone, różowe",,,,roślina wodna,,"VI, VII, VIII, IX",,,gleba sucha,słońce,zbiorniki wodne,kwiaty,,,
